snapshot_id,team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,previous_price,price_change,price_change_percent,generated_at_utc,model_version,bracket_mode,trigger_match_ids,trigger_matches,snapshot_type,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated
2026-06-13T01:56:23.292945+00:00,Algeria,J,1858.747629498189,0.0912,0.2622,0.3474,0.2124,0.5658,0.1672,0.0658,0.0236,0.0082,0.0012,0.4342,0.3985999999999999,0.1013999999999999,0.0422,0.0153999999999999,0.007,29,15.09,32,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Argentina,J,2167.3317641567887,0.7216,0.198,0.0616,0.053,0.9726,0.6854,0.5576,0.4224,0.3204,0.2182,0.0273999999999999,0.2872,0.1278,0.1352,0.1019999999999999,0.1022,2,52.69,2,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Australia,D,1895.2608789341264,0.29,0.2786,0.2362,0.1806,0.7492,0.4138,0.1702,0.0608,0.0222,0.008,0.2508,0.3354,0.2436,0.1094,0.0385999999999999,0.0142,20,23.77,21,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Austria,J,1865.4544576007104,0.148,0.368,0.2958,0.2012,0.7172,0.2528,0.1116,0.0388,0.0158,0.003,0.2828,0.4643999999999999,0.1412,0.0728,0.023,0.0128,26,19.25,26,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Belgium,G,1929.0653183827285,0.4922,0.269,0.156,0.1282,0.8894,0.5768,0.3148,0.1362,0.0732,0.0284,0.1106,0.3126,0.2619999999999999,0.1786,0.0629999999999999,0.0448,9,33.09,10,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Bosnia-Herzegovina,B,1656.6626721673915,0.0768,0.2248,0.4422,0.303,0.6046,0.1286,0.0336,0.0048,0.001,0.0,0.3954,0.476,0.095,0.0288,0.0037999999999999,0.001,38,13.76,33,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Brazil,C,2041.1817026954664,0.5464,0.282,0.1242,0.1058,0.9342,0.5822,0.338,0.1812,0.0662,0.0304,0.0657999999999999,0.352,0.2442,0.1568,0.115,0.0358,8,34.91,7,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Canada,B,1858.59205323128,0.3158,0.4204,0.2002,0.1374,0.8736,0.447,0.2016,0.0716,0.0256,0.0092,0.1263999999999999,0.4266,0.2454,0.13,0.046,0.0164,19,26.43,19,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Cape Verde Islands,H,1644.7706180708274,0.0122,0.0962,0.3338,0.1452,0.2536,0.0308,0.0072,0.0014,0.0004,0.0,0.7464,0.2228,0.0236,0.0058,0.001,0.0004,44,8.18,46,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
2026-06-13T01:56:23.292945+00:00,Colombia,K,2039.058801198529,0.3746,0.3582,0.1868,0.1468,0.8796,0.5626,0.3146,0.1628,0.086,0.0366,0.1203999999999999,0.317,0.248,0.1518,0.0768,0.0493999999999999,5,33.62,8,,,,2026-06-13 01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment,,Official model refresh,publication_refresh,,,,,
